korean,category_guess,source_sentence,is_registered,matched_glossary_term,note
여벌옷속옷준비해,준비물,계절에 맞는 여벌옷과 속옷을 준비해 주세요,N,여벌옷,preferred_vi 입력 필요
속옷 포함해 준비해,준비물,여벌옷은 계절에 맞게 속옷까지 포함해 준비해 주세요,N,여벌옷,preferred_vi 입력 필요
속옷포함해준비해,준비물,여벌옷은 계절에 맞게 속옷까지 포함해 준비해 주세요,N,여벌옷,preferred_vi 입력 필요
포함해 준비해,준비물,여벌옷은 계절에 맞게 속옷까지 포함해 준비해 주세요,N,여벌옷,preferred_vi 입력 필요
포함해준비해,준비물,여벌옷은 계절에 맞게 속옷까지 포함해 준비해 주세요,N,여벌옷,preferred_vi 입력 필요
실내활동,기타,매우 더운 날에는 체육을 실내에서 합니다,N,,preferred_vi 입력 필요
폭염,기타,매우 더운 날에는 체육을 실내에서 합니다,N,,preferred_vi 입력 필요
신청서 내야,제출,전교임원 후보는 신청서를 내야 합니다,N,신청서,preferred_vi 입력 필요
신청서내야,제출,전교임원 후보는 신청서를 내야 합니다,N,신청서,preferred_vi 입력 필요
전교임원,제출,전교임원 후보는 신청서를 내야 합니다,N,신청서,preferred_vi 입력 필요
전교임원 후보 신청서,제출,전교임원 후보는 신청서를 내야 합니다,N,신청서,preferred_vi 입력 필요
전교임원후보신청서,제출,전교임원 후보는 신청서를 내야 합니다,N,신청서,preferred_vi 입력 필요
후보 신청서,제출,전교임원 후보는 신청서를 내야 합니다,N,신청서,preferred_vi 입력 필요
후보 신청서 내야,제출,전교임원 후보는 신청서를 내야 합니다,N,신청서,preferred_vi 입력 필요
후보등록,제출,전교임원 후보는 신청서를 내야 합니다,N,신청서,preferred_vi 입력 필요
후보신청서,제출,전교임원 후보는 신청서를 내야 합니다,N,신청서,preferred_vi 입력 필요
후보신청서내야,제출,전교임원 후보는 신청서를 내야 합니다,N,신청서,preferred_vi 입력 필요
등록 신청서,제출,전교임원 후보자는 후보 등록 신청서를 제출해야 합니다,N,신청서; 제출,preferred_vi 입력 필요
등록 신청서 제출해야,제출,전교임원 후보자는 후보 등록 신청서를 제출해야 합니다,N,신청서; 제출,preferred_vi 입력 필요
등록신청서,제출,전교임원 후보자는 후보 등록 신청서를 제출해야 합니다,N,신청서; 제출,preferred_vi 입력 필요
등록신청서제출해야,제출,전교임원 후보자는 후보 등록 신청서를 제출해야 합니다,N,신청서; 제출,preferred_vi 입력 필요
신청서 제출해야,제출,전교임원 후보자는 후보 등록 신청서를 제출해야 합니다,N,신청서; 제출,preferred_vi 입력 필요
신청서제출해야,제출,전교임원 후보자는 후보 등록 신청서를 제출해야 합니다,N,신청서; 제출,preferred_vi 입력 필요
제출해야,제출,전교임원 후보자는 후보 등록 신청서를 제출해야 합니다,N,신청서; 제출,preferred_vi 입력 필요
후보 등록 신청서,제출,전교임원 후보자는 후보 등록 신청서를 제출해야 합니다,N,신청서; 제출,preferred_vi 입력 필요
후보등록신청서,제출,전교임원 후보자는 후보 등록 신청서를 제출해야 합니다,N,신청서; 제출,preferred_vi 입력 필요
자전거,기타,자전거로 학교에 오면 헬멧을 써야 합니다,N,,preferred_vi 입력 필요
헬멧,기타,자전거로 학교에 오면 헬멧을 써야 합니다,N,,preferred_vi 입력 필요
수업 전,일정,온라인 수업 전에 태블릿을 충전해 주세요,N,,preferred_vi 입력 필요
수업 전에 태블릿,일정,온라인 수업 전에 태블릿을 충전해 주세요,N,,preferred_vi 입력 필요
수업전,일정,온라인 수업 전에 태블릿을 충전해 주세요,N,,preferred_vi 입력 필요
수업전에태블릿,일정,온라인 수업 전에 태블릿을 충전해 주세요,N,,preferred_vi 입력 필요
온라인 수업,일정,온라인 수업 전에 태블릿을 충전해 주세요,N,,preferred_vi 입력 필요
온라인 수업 전,일정,온라인 수업 전에 태블릿을 충전해 주세요,N,,preferred_vi 입력 필요
온라인수업,일정,온라인 수업 전에 태블릿을 충전해 주세요,N,,preferred_vi 입력 필요
온라인수업전,일정,온라인 수업 전에 태블릿을 충전해 주세요,N,,preferred_vi 입력 필요
실종 유괴 예방교육,건강·안전,6월 첫째 주에 실종 유괴 예방교육을 합니다,N,,preferred_vi 입력 필요
실종유괴,건강·안전,6월 첫째 주에 실종 유괴 예방교육을 합니다,N,,preferred_vi 입력 필요
실종유괴예방교육,건강·안전,6월 첫째 주에 실종 유괴 예방교육을 합니다,N,,preferred_vi 입력 필요
예방교육,건강·안전,6월 첫째 주에 실종 유괴 예방교육을 합니다,N,,preferred_vi 입력 필요
유괴 예방교육,건강·안전,6월 첫째 주에 실종 유괴 예방교육을 합니다,N,,preferred_vi 입력 필요
유괴예방교육,건강·안전,6월 첫째 주에 실종 유괴 예방교육을 합니다,N,,preferred_vi 입력 필요
예방교육 6월,건강·안전,실종 유괴 예방교육이 6월 첫째 주에 실시됩니다,N,,preferred_vi 입력 필요
예방교육 6월 첫째,건강·안전,실종 유괴 예방교육이 6월 첫째 주에 실시됩니다,N,,preferred_vi 입력 필요
예방교육6월,건강·안전,실종 유괴 예방교육이 6월 첫째 주에 실시됩니다,N,,preferred_vi 입력 필요
예방교육6월첫째,건강·안전,실종 유괴 예방교육이 6월 첫째 주에 실시됩니다,N,,preferred_vi 입력 필요
유괴 예방교육 6월,건강·안전,실종 유괴 예방교육이 6월 첫째 주에 실시됩니다,N,,preferred_vi 입력 필요
유괴예방교육6월,건강·안전,실종 유괴 예방교육이 6월 첫째 주에 실시됩니다,N,,preferred_vi 입력 필요
스마트폰,건강·안전,스마트폰 예방교육 자료를 함께 읽어 주세요,N,,preferred_vi 입력 필요
스마트폰 예방교육,건강·안전,스마트폰 예방교육 자료를 함께 읽어 주세요,N,,preferred_vi 입력 필요
스마트폰 예방교육 자료,건강·안전,스마트폰 예방교육 자료를 함께 읽어 주세요,N,,preferred_vi 입력 필요
